id,date,professor_name_raw,department,course_name,grading_status_raw,attendance_status_raw,term,comment_text,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6
14,2021-09-05T00:34:39,سید محمد شهرتاش,برق,بررسی ۱-بررسی۲-حفاظت,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,مهر 99,چیزی اضافه ایی نیست,8.0,9.0,7.0,9.0,8.0,10.0
15,2021-09-05T00:35:51,دکتر هاجر فلاحتی,مهندسی کامپیوتر,مدار منطقی- طراحی سیستم های کامپیوتری,نمره خوبی نمیشه ازشون گرفت,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 98,"خوب درس نمیده اصلا، نمره ها رو خوب نمیده و اصلا در طی ترم یا اخر ترم جواب ایمیل نمیده.
منبع مشخصی نداره پایانترماش فضاییه
خوش اخلاقه نسبتا ولی بهش زود برمیخوره
نمونهه بارز ادم بی نظم
خییییییلی بی نظم و بی برنامه است همه چیش.",1.0,2.0,1.0,3.0,2.0,10.0
16,2021-09-05T00:36:56,علم الهدی,مهندسی مواد,بلور شناسی,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,در کل اگر که دنبال یک استاد با ادب با دانشجو میخواید گزینه خوبیه,9.0,8.0,10.0,9.0,10.0,10.0
17,2021-09-05T00:37:00,حجت قاسمی,مکانیک,سوخت و احتراق,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,مهر 98,سخت گیر و پربازده,10.0,10.0,9.0,9.0,9.0,9.0
18,2021-09-05T00:41:22,فریبرز قاسمی,مهندسی کامپیوتر,برنامه نویسی کامپیوتر,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,بهمن 99,چیزی اضافه ایی نیست,8.0,10.0,8.0,10.0,7.0,9.0
19,2021-09-05T00:50:13,محمد باقر صادقی,مهندسی مواد,درس های پلاستیسیته و مکانیک محیط های پیوسته,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,مهر 99,دقت کنید هر جلسه مطالب را بخونید ارشد شب امتحانی نیست طول ترمی هست درس..,10.0,10.0,10.0,10.0,10.0,10.0
20,2021-09-05T00:54:05,هادی خرمی شاد,مکانیک,اتصالات چسبی,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 98,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0
21,2021-09-05T00:54:29,محمدعظیم کرمی,برق,الکترونیک 1,نمره خوبی نمیشه ازشون گرفت,حضور مهم است و تاثیر مستقیم دارد,بهمن 99,اعصابی براتون نمیمونه چه نمره خوبی بگیرید چه بد، ترم ما 40% کلاس افتادن، البته 3-4 تا 20 هم داشتیم، در کل سیاست نمره دهی و کوئیز هاشون (وقت کم) دمار از دانشجو در میاره، اما اگر اهل تلاش زیاد باشید امکان نمره خوب گرفتن هم هست,5.0,7.0,8.0,8.0,6.0,5.0
22,2021-09-05T01:08:29,سید علیرضا نظام الحسینی,برق,سیگنالها و سیستمها,منصفانه و هرچی خودت بگیری,حضور و غیاب نمی کند,مهر 99,استاد خوبی هستند فقط امتحان های سختی میگیرن که اون هم اگر خونده باشی میشه اوکی کردش.در کل خیلی رواله,10.0,10.0,10.0,8.0,10.0,10.0
23,2021-09-05T01:12:54,علی رضا ایوانی,مهندسی مواد,درس شکل پذیری فلزات و شکست,منصفانه و هرچی خودت بگیری,حضور مهم نیست اما تاثیر مثبت دارد,بهمن 99,سعی کنید سر کلاس خوب گوش بدید به مطالب,10.0,10.0,10.0,10.0,10.0,10.0
