id,date,professor_name_raw,department,course_name,term,comment_text,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,clean_department,clean_comment_text,professor_name,grading_status,attendance_status,clean_tokens_list,simple_label,simple_score,bert_label,bert_score
14,2021-09-05T00:34:39,سید محمد شهرتاش,برق,بررسی ۱-بررسی۲-حفاظت,مهر 99,چیزی اضافه ایی نیست,8.0,9.0,7.0,9.0,8.0,10.0,برق,چیزی اضافه ایی نیست,سید محمد شهرتاش,منصفانه,آزاد,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
15,2021-09-05T00:35:51,دکتر هاجر فلاحتی,مهندسی کامپیوتر,مدار منطقی- طراحی سیستم های کامپیوتری,بهمن 98,"خوب درس نمیده اصلا، نمره ها رو خوب نمیده و اصلا در طی ترم یا اخر ترم جواب ایمیل نمیده.
منبع مشخصی نداره پایانترماش فضاییه
خوش اخلاقه نسبتا ولی بهش زود برمیخوره
نمونهه بارز ادم بی نظم
خییییییلی بی نظم و بی برنامه است همه چیش.",1.0,2.0,1.0,3.0,2.0,10.0,مهندسی کامپیوتر,خوب درس نمیده اصلا، نمره ها رو خوب نمیده و اصلا در طی ترم یا اخر ترم جواب ایمیل نمیده. منبع مشخصی نداره پایانترماش فضاییه خوش اخلاقه نسبتا ولی بهش زود برمیخوره نمونهه بارز ادم بی نظم خییییییلی بی نظم و بی برنامه است همه چیش.,هاجر فلاحتی,سخت‌گیر,آزاد,"['درس', 'نمیده', 'اصلا', '،', 'نمره\u200cها', 'نمیده', 'اصلا', 'ترم', 'اخر', 'ترم', 'جواب', 'ایمیل', 'نمیده', '.', 'منبع', 'مشخصی', 'نداره', 'پایانترماش', 'فضاییه', 'خوش', 'اخلاقه', 'نسبتا', 'بهش', 'زود', 'برمیخوره', 'نمونهه', 'بارز', 'ادم', 'بی\u200cنظم', 'بی\u200cنظم', 'بی\u200cبرنامه', 'چیش', '.']",Neutral,0,Negative,-0.9448145627975464
16,2021-09-05T00:36:56,علم الهدی,مهندسی مواد,بلور شناسی,بهمن 99,در کل اگر که دنبال یک استاد با ادب با دانشجو میخواید گزینه خوبیه,9.0,8.0,10.0,9.0,10.0,10.0,مهندسی مواد,در کل اگر که دنبال یک استاد با ادب با دانشجو میخواید گزینه خوبیه,سمیه علم الهدی,منصفانه,آزاد,"['دنبال', 'استاد', 'ادب', 'دانشجو', 'میخواید', 'گزینه', 'خوبیه']",Neutral,0,Positive,0.8452681303024292
17,2021-09-05T00:37:00,حجت قاسمی,مکانیک,سوخت و احتراق,مهر 98,سخت گیر و پربازده,10.0,10.0,9.0,9.0,9.0,9.0,مکانیک,سخت گیر و پربازده,حجت قاسمی,منصفانه,آزاد,"['سخت\u200cگیر', 'پربازده']",Negative,-1,Positive,0.9390336275100708
18,2021-09-05T00:41:22,فریبرز قاسمی,مهندسی کامپیوتر,برنامه نویسی کامپیوتر,بهمن 99,چیزی اضافه ایی نیست,8.0,10.0,8.0,10.0,7.0,9.0,مهندسی کامپیوتر,چیزی اضافه ایی نیست,فریبرز قاسمی فیض ابادی,منصفانه,آزاد,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
19,2021-09-05T00:50:13,محمد باقر صادقی,مهندسی مواد,درس های پلاستیسیته و مکانیک محیط های پیوسته,مهر 99,دقت کنید هر جلسه مطالب را بخونید ارشد شب امتحانی نیست طول ترمی هست درس..,10.0,10.0,10.0,10.0,10.0,10.0,مهندسی مواد,دقت کنید هر جلسه مطالب را بخونید ارشد شب امتحانی نیست طول ترمی هست درس..,محمد باقر صادقی,منصفانه,آزاد,"['دقت', 'جلسه', 'مطالب', 'بخونید', 'ارشد', 'شب', 'امتحانی', 'ترمی', 'هست', 'درس', '..']",Neutral,0,Positive,0.8666463494300842
20,2021-09-05T00:54:05,هادی خرمی شاد,مکانیک,اتصالات چسبی,بهمن 98,چیزی اضافه ایی نیست,10.0,10.0,10.0,10.0,10.0,10.0,مکانیک,چیزی اضافه ایی نیست,هادی خرمی شاد,منصفانه,آزاد,"['اضافه', 'ایی']",Neutral,0,Negative,-0.6018742322921753
21,2021-09-05T00:54:29,محمدعظیم کرمی,برق,الکترونیک 1,بهمن 99,اعصابی براتون نمیمونه چه نمره خوبی بگیرید چه بد، ترم ما 40% کلاس افتادن، البته 3-4 تا 20 هم داشتیم، در کل سیاست نمره دهی و کوئیز هاشون (وقت کم) دمار از دانشجو در میاره، اما اگر اهل تلاش زیاد باشید امکان نمره خوب گرفتن هم هست,5.0,7.0,8.0,8.0,6.0,5.0,برق,اعصابی براتون نمیمونه چه نمره خوبی بگیرید چه بد، ترم ما 40% کلاس افتادن، البته 3-4 تا 20 هم داشتیم، در کل سیاست نمره دهی و کوئیز هاشون (وقت کم) دمار از دانشجو در میاره، اما اگر اهل تلاش زیاد باشید امکان نمره خوب گرفتن هم هست,محمدعظیم کرمی,سخت‌گیر,سخت‌گیر,"['اعصابی', 'براتون', 'نمیمونه', 'نمره', 'بگیرید', 'بد', '،', 'ترم', '۴۰', '٪', 'کلاس', 'افتادن', '،', '۳', '-', '۴', '۲۰', 'داشتیم', '،', 'سیاست', 'نمره', 'دهی', 'کوئیز', 'هاشون', '(', 'وقت', ')', 'دمار', 'دانشجو', 'میاره', '،', 'اهل', 'تلاش', 'باشید', 'نمره', 'گرفتن', 'هست']",Neutral,0,Neutral,0.0
22,2021-09-05T01:08:29,سید علیرضا نظام الحسینی,برق,سیگنالها و سیستمها,مهر 99,استاد خوبی هستند فقط امتحان های سختی میگیرن که اون هم اگر خونده باشی میشه اوکی کردش.در کل خیلی رواله,10.0,10.0,10.0,8.0,10.0,10.0,برق,استاد خوبی هستند فقط امتحان های سختی میگیرن که اون هم اگر خونده باشی میشه اوکی کردش.در کل خیلی رواله,سید علیرضا نظام الحسینی عز ابادی,منصفانه,آزاد,"['استاد', 'امتحان\u200cهای', 'سختی', 'میگیرن', 'اون', 'خونده', 'باشی', 'میشه', 'اوکی', 'کردش', '.', 'رواله']",Neutral,0,Positive,0.7979612946510315
23,2021-09-05T01:12:54,علی رضا ایوانی,مهندسی مواد,درس شکل پذیری فلزات و شکست,بهمن 99,سعی کنید سر کلاس خوب گوش بدید به مطالب,10.0,10.0,10.0,10.0,10.0,10.0,مهندسی مواد,سعی کنید سر کلاس خوب گوش بدید به مطالب,علی رضا ایوانی,منصفانه,آزاد,"['سر', 'کلاس', 'گوش', 'بدید', 'مطالب']",Neutral,0,Positive,0.7810038924217224
